Id;Designator;Footprint;Quantity;Designation;Supplier and ref;Order code
1;U4,U1;TO-263-5_TabPin3;2;LT3080xQ;nl.farnell.com;4027648
2;F1;Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder;1;1812L200/12DR;nl.farnell.com;2786590
3;C6;CP_Radial_D5.0mm_P2.00mm;1;10u;;
4;R13,R4,R9,R5;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;4;1k;;
5;C2;CP_Radial_D5.0mm_P2.00mm;1;1u;;
6;R22;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;120;;
7;R20,R14,R8;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;3;10k;;
8;J3;PinHeader_1x02_P2.54mm_Vertical;1;Conn_01x02_Pin;;
9;R21;R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical;1;0.5;;
10;Q1;TO-263-2;1;IRFS4115;nl.farnell.com;2725984
11;J2;Molex_SPOX_5267-10A_1x10_P2.50mm_Vertical;1;Conn_01x10_Pin;nl.farnell.com;3050985
12;J1;TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal;1;Screw_Terminal_01x02;;
13;12V,5V;LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;LED;;
14;R3;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;390;;
15;J5;PinHeader_1x03_P2.54mm_Horizontal;1;Conn_01x03_Pin;;
16;SW1;SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm;1;BSE02GR;nl.farnell.com;2864305
17;R11,R12;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;10m;;
18;Q2;SOIC-8_3.9x4.9mm_P1.27mm;1;FDS4897C;nl.farnell.com;2453864
19;R23,R6;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;1M2;;
20;U2;TSSOP-16_4.4x5mm_P0.65mm;1;AD5282;nl.farnell.com;4028680
21;R2;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;2k7;;
22;C1,C5,C3;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;3;100n;;
23;R1;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;1k2;;
24;U6;SOT-23;1;MCP9700Ax-ETT;nl.farnell.com;1605577
25;R10;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;2k2;;
26;U3;SO-14_3.9x8.65mm_P1.27mm;1;TL084;nl.farnell.com;1564346
27;R7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;39k;;
