Designator,Mid X,Mid Y,Rotation,Layer
C1,146.1,-67.2,270.0,bottom
C2,139.25,-72.95,90.0,bottom
C3,164.55,-59.032513,270.0,top
C4,132.832513,-64.95,0.0,top
C5,164.95,-85.4875,270.0,top
C7,145.62,-84.45,90.0,bottom
D1,125.35,-75.15,0.0,top
D2,125.35,-79.35,0.0,top
F1,126.6,-71.6,180.0,top
J1,121.405,-63.565,270.0,top
J2,119.25,-84.35,270.0,top
Q1,165.925,-95.825,90.0,top
R1,151.95833,-59.85,270.0,bottom
R10,139.22,-84.48,90.0,bottom
R11,159.15,-82.2,270.0,top
R12,172.7,-82.2,270.0,top
R13,141.083332,-59.85,90.0,bottom
R14,135.6,-59.85,90.0,bottom
R15,149.25,-59.85,270.0,bottom
R16,146.566664,-59.85,90.0,bottom
R17,143.824998,-59.85,270.0,bottom
R18,138.341666,-59.85,90.0,bottom
R19,145.65,-72.9,270.0,bottom
R2,154.7,-59.85,90.0,bottom
R20,142.465,-72.97,90.0,bottom
R21,140.56,-104.15,180.0,top
R22,129.85,-79.35,0.0,top
R3,129.85,-75.15,0.0,top
R4,134.9,-97.15,0.0,bottom
R5,134.9,-93.75,0.0,bottom
R6,135.6,-87.55,180.0,bottom
R7,123.35,-87.8,270.0,bottom
R8,135.55,-90.7,0.0,bottom
R9,142.6875,-84.48,270.0,bottom
SW1,127.6,-95.35,0.0,top
TP1,128.1,-83.25,0.0,top
TP10,148.2,-85.8,0.0,top
TP2,124.128571,-83.25,0.0,top
TP3,120.9,-105.5,0.0,top
TP4,132.2,-83.25,0.0,top
TP5,148.05,-63.95,0.0,top
TP6,120.9,-101.25,0.0,top
TP7,117.6,-103.25,0.0,top
TP8,128.8,-67.45,0.0,top
TP9,136.0,-82.0,0.0,top
U1,142.7,-78.75,270.0,bottom
U2,128.4,-88.15,90.0,bottom
U3,140.41,-65.625,270.0,bottom
U4,158.375,-73.075,270.0,top
U5,173.975,-73.125,270.0,top
U6,168.1375,-85.575,180.0,top
